Disease,Disease_id,Gene,Gene_id,Score_gda,Association_Type, Type,Original_DB,Sentence,PMID,PMID_Year
Stomatitis,C0038362,CDAN1,146059,0.02,Biomarker,,BEFREE,"One <span class=""gene"" id=""29995287-5-4-7"">DLT</span> (anorexia and <span class=""disease"" id=""29995287-5-22-32"">stomatitis</span>, respectively) occurred with each of regimens 2 and 3.",29995287,2019
Stomatitis,C0038362,IL17A,3605,0.01,Biomarker,,BEFREE,"To assess changes in the salivary expression of IL-1α, IL-1β, IL-2, IL-6, IL-10, <span class=""gene"" id=""28403570-1-81-86"">IL-17</span>, and TNF in acute leukemia (AL) patients before and during chemotherapy, and its association with HSV infection, oral candidiasis (OC), and <span class=""disease"" id=""28403570-1-227-241"">oral mucositis</span> (OM) onset.",28403570,2017
Stomatitis,C0038362,GHRL,51738,0.01,GeneticVariation,,BEFREE,"The study results have demonstrated an association between the AA genotype of the <span class=""gene"" id=""29566446-8-82-86"">GHRL</span> gene and the risk of more severe <span class=""disease"" id=""29566446-8-120-134"">oral mucositis</span> attributed to RT in patients with head and neck cancer.",29566446,2018
Stomatitis,C0038362,BCHE,590,0.01,AlteredExpression,,BEFREE,"Grade 1-2 adverse events occurred in 12 patients and included mild transient <span class=""disease"" id=""31053163-8-77-87"">stomatitis</span> (2 cases), worsening of infantile acne (1 case), increases of serum cholesterol and triglycerides (4 cases), changes in serum phosphate levels (2 cases), increase of <span class=""gene"" id=""31053163-8-254-268"">cholinesterase</span> (2 cases), transient neutropenia (2 cases), transient anemia (1 case), transient lymphopenia (1 case) and recurrent infections (7 cases).",31053163,2019
Stomatitis,C0038362,SLC19A1,6573,0.01,GeneticVariation,,BEFREE,"In addition, there was a trend toward reduced hematological toxicity among patients with variants of <span class=""gene"" id=""25041994-7-101-108"">SLC19A1</span> <span class=""variant"" dbSNP=""rs775144154"" genes_norm=""6573"">G80A</span> in treatment arm 1 (P for trend, .06) and reduced esophagitis/<span class=""disease"" id=""25041994-7-176-186"">stomatitis</span> noted among patients with variants of TSER in treatment arm 3 (P for trend, .06).",25041994,2014
Stomatitis,C0038362,CASP8,841,0.01,Biomarker,,BEFREE,"Their data have shown that <span class=""gene"" id=""30620218-5-27-40"">Gag-CASP8-VLP</span>s, pseudotyped by the <span class=""disease"" id=""30620218-5-62-72"">stomatitis</span> virus G protein (VSV-G), can efficiently enter and deliver active <span class=""gene"" id=""30620218-5-139-144"">CASP8</span> into breast cancer cells, leading to massive cell apoptosis and death.",30620218,2019
Stomatitis,C0038362,CSF2,1437,0.01,Biomarker,,BEFREE,"Oral pseudomembranous candidiasis, herpes simplex virus-1 infection, and <span class=""disease"" id=""11545238-0-73-87"">oral mucositis</span> in head and neck cancer patients receiving radiotherapy and <span class=""gene"" id=""11545238-0-148-196"">granulocyte-macrophage colony-stimulating factor</span> (<span class=""gene"" id=""11545238-0-198-204"">GM-CSF</span>) mouthwash.",11545238,2001
Stomatitis,C0038362,XRCC1,7515,0.34,Biomarker,,CTD_human,"In addition, genetic linkage disequilibrium existed in <span class=""gene"" id=""24594932-7-55-60"">XRCC1</span> polymorphisms for &gt;grade 2 <span class=""disease"" id=""24594932-7-88-102"">oral mucositis</span> and skin reaction indicating the complex inheritance pattern.",24594932,2014
Stomatitis,C0038362,NBN,4683,0.31,Biomarker,,CTD_human,"Direct correlation of heterozygous and mutant alleles with acute reactions as well as haplotype correlation revealed <span class=""gene"" id=""24594932-6-117-120"">NBN</span> variants to be of predictive significance in analysing <span class=""disease"" id=""24594932-6-176-190"">oral mucositis</span> prior to radiotherapy.",24594932,2014
Stomatitis,C0038362,IL1B,3553,0.02,Biomarker,,BEFREE,"Early inflammation, as indicated by the expression of the inflammatory markers TNFα, NF-κB, and <span class=""gene"" id=""28258409-11-96-101"">IL-1β</span>, is an essential component of early radiogenic <span class=""disease"" id=""28258409-11-149-163"">oral mucositis</span>.",28258409,2017
Stomatitis,C0038362,ABCG2,9429,0.01,GeneticVariation,,BEFREE,"Fifty-two Japanese patients with RCC treated with sunitinib were retrospectively genotyped to elucidate a potential association between STAT3, ABCB1, and <span class=""gene"" id=""28381801-4-154-159"">ABCG2</span> polymorphisms and <span class=""disease"" id=""28381801-4-178-188"">stomatitis</span> development.",28381801,2017
Stomatitis,C0038362,CD40LG,959,0.1,Biomarker,,HPO,,,
